Campaign,Day of Week,Start Time,End Time,Bid Adjustment
TQ | Pesquisa | Hardware e PCB,Monday,08:00,18:00,0%
TQ | Pesquisa | Hardware e PCB,Tuesday,08:00,18:00,0%
TQ | Pesquisa | Hardware e PCB,Wednesday,08:00,18:00,0%
TQ | Pesquisa | Hardware e PCB,Thursday,08:00,18:00,0%
TQ | Pesquisa | Hardware e PCB,Friday,08:00,18:00,0%
TQ | Pesquisa | Firmware e Embarcados,Monday,08:00,18:00,0%
TQ | Pesquisa | Firmware e Embarcados,Tuesday,08:00,18:00,0%
TQ | Pesquisa | Firmware e Embarcados,Wednesday,08:00,18:00,0%
TQ | Pesquisa | Firmware e Embarcados,Thursday,08:00,18:00,0%
TQ | Pesquisa | Firmware e Embarcados,Friday,08:00,18:00,0%
TQ | Pesquisa | Automação Industrial,Monday,08:00,18:00,0%
TQ | Pesquisa | Automação Industrial,Tuesday,08:00,18:00,0%
TQ | Pesquisa | Automação Industrial,Wednesday,08:00,18:00,0%
TQ | Pesquisa | Automação Industrial,Thursday,08:00,18:00,0%
TQ | Pesquisa | Automação Industrial,Friday,08:00,18:00,0%
TQ | Pesquisa | IoT e Monitoramento,Monday,08:00,18:00,0%
TQ | Pesquisa | IoT e Monitoramento,Tuesday,08:00,18:00,0%
TQ | Pesquisa | IoT e Monitoramento,Wednesday,08:00,18:00,0%
TQ | Pesquisa | IoT e Monitoramento,Thursday,08:00,18:00,0%
TQ | Pesquisa | IoT e Monitoramento,Friday,08:00,18:00,0%
TQ | Pesquisa | Software Apps e Dashboards,Monday,08:00,18:00,0%
TQ | Pesquisa | Software Apps e Dashboards,Tuesday,08:00,18:00,0%
TQ | Pesquisa | Software Apps e Dashboards,Wednesday,08:00,18:00,0%
TQ | Pesquisa | Software Apps e Dashboards,Thursday,08:00,18:00,0%
TQ | Pesquisa | Software Apps e Dashboards,Friday,08:00,18:00,0%
TQ | Pesquisa | Diagnóstico Técnico,Monday,08:00,18:00,0%
TQ | Pesquisa | Diagnóstico Técnico,Tuesday,08:00,18:00,0%
TQ | Pesquisa | Diagnóstico Técnico,Wednesday,08:00,18:00,0%
TQ | Pesquisa | Diagnóstico Técnico,Thursday,08:00,18:00,0%
TQ | Pesquisa | Diagnóstico Técnico,Friday,08:00,18:00,0%
