Campaign,Ad Group,Ad Group Status,Max CPC
TQ | Pesquisa | Hardware e PCB,Desenvolvimento de Hardware,Enabled,6.00
TQ | Pesquisa | Hardware e PCB,Projeto de PCB,Enabled,6.00
TQ | Pesquisa | Hardware e PCB,Produtos Eletrônicos,Enabled,6.00
TQ | Pesquisa | Firmware e Embarcados,Firmware Embarcado,Enabled,6.00
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,Enabled,5.00
TQ | Pesquisa | Automação Industrial,Automação Industrial,Enabled,8.00
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,Enabled,7.00
TQ | Pesquisa | Automação Industrial,Indústria 4.0,Enabled,6.00
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,Enabled,7.00
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,Enabled,7.00
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,Enabled,6.00
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,Enabled,6.00
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,Enabled,6.00
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,Enabled,6.00
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,Enabled,7.00
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,Enabled,6.00
