Campaign,Link Text,Description Line 1,Description Line 2,Final URL
TQ | Pesquisa | Hardware e PCB,Produtos eletrônicos,Da ideia ao produto real,"Hardware, firmware e PCB",https://taquionica.com.br/desenvolvimento-produtos-eletronicos
TQ | Pesquisa | Hardware e PCB,Firmware e embarcados,"ESP32, MQTT, Modbus e CAN",Firmware que aguenta o campo,https://taquionica.com.br/desenvolvimento-firmware
TQ | Pesquisa | Hardware e PCB,Monitoramento e IoT,Dados e alertas em tempo real,Acompanhe de onde estiver,https://taquionica.com.br/monitoramento-remoto-iot
TQ | Pesquisa | Hardware e PCB,Automação industrial,Automação sob medida,"Eletrônica, firmware e app",https://taquionica.com.br/automacao-industrial
TQ | Pesquisa | Hardware e PCB,Projetos realizados,Casos reais de engenharia,Da placa à usina solar,https://taquionica.com.br/#projetos
TQ | Pesquisa | Hardware e PCB,Falar com especialista,Primeira conversa sem custo,Retorno pela sua preferência,https://taquionica.com.br/#contato
TQ | Pesquisa | Firmware e Embarcados,Produtos eletrônicos,Da ideia ao produto real,"Hardware, firmware e PCB",https://taquionica.com.br/desenvolvimento-produtos-eletronicos
TQ | Pesquisa | Firmware e Embarcados,Firmware e embarcados,"ESP32, MQTT, Modbus e CAN",Firmware que aguenta o campo,https://taquionica.com.br/desenvolvimento-firmware
TQ | Pesquisa | Firmware e Embarcados,Monitoramento e IoT,Dados e alertas em tempo real,Acompanhe de onde estiver,https://taquionica.com.br/monitoramento-remoto-iot
TQ | Pesquisa | Firmware e Embarcados,Automação industrial,Automação sob medida,"Eletrônica, firmware e app",https://taquionica.com.br/automacao-industrial
TQ | Pesquisa | Firmware e Embarcados,Projetos realizados,Casos reais de engenharia,Da placa à usina solar,https://taquionica.com.br/#projetos
TQ | Pesquisa | Firmware e Embarcados,Falar com especialista,Primeira conversa sem custo,Retorno pela sua preferência,https://taquionica.com.br/#contato
TQ | Pesquisa | Automação Industrial,Produtos eletrônicos,Da ideia ao produto real,"Hardware, firmware e PCB",https://taquionica.com.br/desenvolvimento-produtos-eletronicos
TQ | Pesquisa | Automação Industrial,Firmware e embarcados,"ESP32, MQTT, Modbus e CAN",Firmware que aguenta o campo,https://taquionica.com.br/desenvolvimento-firmware
TQ | Pesquisa | Automação Industrial,Monitoramento e IoT,Dados e alertas em tempo real,Acompanhe de onde estiver,https://taquionica.com.br/monitoramento-remoto-iot
TQ | Pesquisa | Automação Industrial,Automação industrial,Automação sob medida,"Eletrônica, firmware e app",https://taquionica.com.br/automacao-industrial
TQ | Pesquisa | Automação Industrial,Projetos realizados,Casos reais de engenharia,Da placa à usina solar,https://taquionica.com.br/#projetos
TQ | Pesquisa | Automação Industrial,Falar com especialista,Primeira conversa sem custo,Retorno pela sua preferência,https://taquionica.com.br/#contato
TQ | Pesquisa | IoT e Monitoramento,Produtos eletrônicos,Da ideia ao produto real,"Hardware, firmware e PCB",https://taquionica.com.br/desenvolvimento-produtos-eletronicos
TQ | Pesquisa | IoT e Monitoramento,Firmware e embarcados,"ESP32, MQTT, Modbus e CAN",Firmware que aguenta o campo,https://taquionica.com.br/desenvolvimento-firmware
TQ | Pesquisa | IoT e Monitoramento,Monitoramento e IoT,Dados e alertas em tempo real,Acompanhe de onde estiver,https://taquionica.com.br/monitoramento-remoto-iot
TQ | Pesquisa | IoT e Monitoramento,Automação industrial,Automação sob medida,"Eletrônica, firmware e app",https://taquionica.com.br/automacao-industrial
TQ | Pesquisa | IoT e Monitoramento,Projetos realizados,Casos reais de engenharia,Da placa à usina solar,https://taquionica.com.br/#projetos
TQ | Pesquisa | IoT e Monitoramento,Falar com especialista,Primeira conversa sem custo,Retorno pela sua preferência,https://taquionica.com.br/#contato
TQ | Pesquisa | Software Apps e Dashboards,Produtos eletrônicos,Da ideia ao produto real,"Hardware, firmware e PCB",https://taquionica.com.br/desenvolvimento-produtos-eletronicos
TQ | Pesquisa | Software Apps e Dashboards,Firmware e embarcados,"ESP32, MQTT, Modbus e CAN",Firmware que aguenta o campo,https://taquionica.com.br/desenvolvimento-firmware
TQ | Pesquisa | Software Apps e Dashboards,Monitoramento e IoT,Dados e alertas em tempo real,Acompanhe de onde estiver,https://taquionica.com.br/monitoramento-remoto-iot
TQ | Pesquisa | Software Apps e Dashboards,Automação industrial,Automação sob medida,"Eletrônica, firmware e app",https://taquionica.com.br/automacao-industrial
TQ | Pesquisa | Software Apps e Dashboards,Projetos realizados,Casos reais de engenharia,Da placa à usina solar,https://taquionica.com.br/#projetos
TQ | Pesquisa | Software Apps e Dashboards,Falar com especialista,Primeira conversa sem custo,Retorno pela sua preferência,https://taquionica.com.br/#contato
TQ | Pesquisa | Diagnóstico Técnico,Produtos eletrônicos,Da ideia ao produto real,"Hardware, firmware e PCB",https://taquionica.com.br/desenvolvimento-produtos-eletronicos
TQ | Pesquisa | Diagnóstico Técnico,Firmware e embarcados,"ESP32, MQTT, Modbus e CAN",Firmware que aguenta o campo,https://taquionica.com.br/desenvolvimento-firmware
TQ | Pesquisa | Diagnóstico Técnico,Monitoramento e IoT,Dados e alertas em tempo real,Acompanhe de onde estiver,https://taquionica.com.br/monitoramento-remoto-iot
TQ | Pesquisa | Diagnóstico Técnico,Automação industrial,Automação sob medida,"Eletrônica, firmware e app",https://taquionica.com.br/automacao-industrial
TQ | Pesquisa | Diagnóstico Técnico,Projetos realizados,Casos reais de engenharia,Da placa à usina solar,https://taquionica.com.br/#projetos
TQ | Pesquisa | Diagnóstico Técnico,Falar com especialista,Primeira conversa sem custo,Retorno pela sua preferência,https://taquionica.com.br/#contato
