Campaign,Ad Group,Ad Group Status,Max CPC
TQ | Pesquisa | Projetos de Engenharia,Produtos Eletrônicos e Hardware,Enabled,5.50
TQ | Pesquisa | Projetos de Engenharia,Projeto de PCB,Enabled,5.00
TQ | Pesquisa | Projetos de Engenharia,Firmware e Embarcados,Enabled,5.50
TQ | Pesquisa | Projetos de Engenharia,Terceirização de Engenharia,Enabled,5.50
TQ | Pesquisa | Projetos de Engenharia,Diagnóstico e Consultoria Técnica,Enabled,4.50
TQ | Pesquisa | Indústria Conectada,Monitoramento Remoto e Telemetria,Enabled,5.50
TQ | Pesquisa | Indústria Conectada,IoT Industrial,Enabled,4.50
TQ | Pesquisa | Indústria Conectada,Coleta de Dados e Produção,Enabled,5.50
TQ | Pesquisa | Indústria Conectada,Manutenção Preditiva,Enabled,4.50
TQ | Pesquisa | Indústria Conectada,Retrofit e Modernização de Máquinas,Enabled,5.50
TQ | Pesquisa | Indústria Conectada,Aplicativos e Dashboards,Enabled,4.50
TQ | Pesquisa | Indústria Conectada,Telemetria Agrícola e Solar,Enabled,5.00
TQ | Pesquisa | Termos Amplos,Automação Industrial,Enabled,3.50
TQ | Pesquisa | Termos Amplos,Indústria 4.0,Enabled,3.00
TQ | Pesquisa | Termos Amplos,Descoberta Ampla,Enabled,3.00
